Name,Type,SubType,Library
Americas demo market based factor,,,Demo energy market based
EMEA demo market based factor,,,Demo energy market based
APAC demo market based factor,,,Demo energy market based
Renewable demo purchased electricity factor,,,Demo energy emission factor library
Americas demo purchased electricity factor,,,Demo energy emission factor library
APAC demo purchased electricity factor,,,Demo energy emission factor library
EMEA demo purchased electricity factor,,,Demo energy emission factor library
Adatum EF,,,Demo External Emission Factor Library
Consolidated Messenger EF,,,Demo External Emission Factor Library
Demo geographic area,,,Demo energy emission factor library
WTT- district heat & steam distribution,WTT - heat and steam,5% loss,Defra 2022 - WTT - heat and steam
WTT- heat and steam - District heat and steam,WTT - heat and steam,District heat and steam,Defra 2022 - WTT - heat and steam
WTT- heat and steam - Onsite heat and steam,WTT - heat and steam,Onsite heat and steam,Defra 2022 - WTT - heat and steam
Coal (electricity generation - home produced coal only)  kWh (Gross CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (electricity generation - home produced coal only)  kWh (Net CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (electricity generation - home produced coal only)  tonnes,WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Petroleum coke  kWh (Gross CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Petroleum coke  kWh (Net CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Petroleum coke  tonnes,WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coking coal  kWh (Gross CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coking coal  kWh (Net CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coking coal  tonnes,WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (domestic)  kWh (Gross CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (domestic)  kWh (Net CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (domestic)  tonnes,WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (electricity generation)  kWh (Gross CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Coal (electricity generation)  kWh (Net CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Other petroleum gas  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Natural gas (100% mineral blend)  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Natural gas (100% mineral blend)  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Natural gas (100% mineral blend)  cubic metres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Natural gas (100% mineral blend)  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Diesel (100% mineral diesel)  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Processed fuel oils - residual oil  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Diesel (100% mineral diesel)  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Natural gas  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Petrol (100% mineral petrol)  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Coal (electricity generation)  tonnes,WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Diesel (average biofuel blend)  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Petrol (100% mineral petrol)  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Coal (industrial)  kWh (Gross CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Natural gas  kWh (Net CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Diesel (average biofuel blend)  kWh (Net CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Petrol (100% mineral petrol)  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Coal (industrial)  kWh (Net CV),WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Natural gas  cubic metres,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Coal (industrial)  tonnes,WTT - fuels,Solid fuels,Defra 2022 - WTT - fuels
Petrol (100% mineral petrol)  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Diesel (average biofuel blend)  litres,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Natural gas  tonnes,WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Marine fuel oil  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
LPG  kWh (Gross CV),WTT - fuels,Gaseous fuels,Defra 2022 - WTT - fuels
Diesel (average biofuel blend)  tonnes,WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
Petrol (average biofuel blend)  kWh (Gross CV),WTT - fuels,Liquid fuels,Defra 2022 - WTT - fuels
